area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
13780,"Binghamton, NY",4,15-1252,Software Developers,1130.0,125070.0,60.13,129600.0,62.31,81650.0,101520.0,145350.0,169020.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
13820,"Birmingham, AL",4,15-1252,Software Developers,3800.0,114740.0,55.17,106890.0,51.39,66150.0,81930.0,135980.0,164640.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
13900,"Bismarck, ND",4,15-1252,Software Developers,340.0,103170.0,49.6,98510.0,47.36,71190.0,82420.0,121070.0,132410.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
13980,"Blacksburg-Christiansburg-Radford, VA",4,15-1252,Software Developers,580.0,105990.0,50.96,103110.0,49.57,63720.0,82120.0,128500.0,151330.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14010,"Bloomington, IL",4,15-1252,Software Developers,1300.0,121270.0,58.31,121590.0,58.46,82820.0,101620.0,135170.0,159150.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14020,"Bloomington, IN",4,15-1252,Software Developers,150.0,103280.0,49.65,96100.0,46.2,66290.0,77660.0,128090.0,154370.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14260,"Boise City, ID",4,15-1252,Software Developers,2820.0,128320.0,61.69,112230.0,53.96,63350.0,82370.0,136950.0,167670.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14460,"Boston-Cambridge-Newton, MA-NH",4,15-1252,Software Developers,48200.0,154840.0,74.44,154240.0,74.15,99840.0,127460.0,172970.0,208590.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14540,"Bowling Green, KY",4,15-1252,Software Developers,170.0,123200.0,59.23,97680.0,46.96,68970.0,83650.0,157920.0,215750.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14580,"Bozeman, MT",4,15-1252,Software Developers,370.0,121010.0,58.18,107590.0,51.72,74560.0,83400.0,140340.0,202440.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
14740,"Bremerton-Silverdale-Port Orchard, WA",4,15-1252,Software Developers,620.0,146190.0,70.28,139060.0,66.86,90830.0,108620.0,173600.0,193280.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
