season,week,rule_regime,n_active,observed_eliminated,model_elim_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_map_matches_observed
31,8,rank,8,3,0.26582596132384295,2,False,-2.0794415416798357,0.125,0.2150964497428582,False
31,9,rank,6,1,0.2600005792138496,2,False,-1.791759469228055,0.16666666666666666,0.23338622452664748,False
32,1,rank,14,9,0.3840922898560867,1,True,-2.6390573296152584,0.07142857142857142,0.2037386371638123,False
32,2,rank,13,6,0.04478391148361203,5,False,-2.5649493574615367,0.07692307692307693,0.07938124532787387,False
32,3,rank,12,10,0.17872775971074173,3,False,-2.4849066497880004,0.08333333333333333,0.27651720528437634,True
32,4,rank,11,0,0.12113066872503066,4,False,-2.3978952727983707,0.09090909090909091,0.08044039777183246,False
32,5,rank,10,8,0.13834700544506548,4,False,-2.302585092994046,0.1,0.15300814613669933,False
32,6,rank,9,7,0.07451125340779019,4,False,-2.1972245773362196,0.1111111111111111,0.11169622468791696,False
32,7,rank,8,6,0.030482640848676225,6,False,-2.0794415416798357,0.125,0.06126244241282568,False
32,8,rank,7,2,0.2806176749938254,2,False,-1.9459101490553132,0.14285714285714285,0.1617777626211713,False
32,9,rank,6,3,0.5246261472510658,1,True,-1.791759469228055,0.16666666666666666,0.3176506979125795,True
33,2,rank,13,0,0.10323364269630186,3,False,-2.5649493574615367,0.07692307692307693,0.14807271892338683,False
33,3,rank,11,4,0.2774216210592787,2,False,-2.3978952727983707,0.09090909090909091,0.20382103626026257,False
33,4,rank,9,0,0.061881445244486064,4,False,-2.1972245773362196,0.1111111111111111,0.11847323428307083,False
33,5,rank,8,6,0.30222882993475936,2,False,-2.0794415416798357,0.125,0.21966659999549998,False
33,6,rank,7,4,0.08117640914061656,5,False,-1.9459101490553132,0.14285714285714285,0.10191245941035093,False
33,7,rank,6,2,0.21783911203203501,3,False,-1.791759469228055,0.16666666666666666,0.3176506979125795,True
34,2,rank,14,2,0.12097969189062148,3,False,-2.6390573296152584,0.07142857142857142,0.12588437344449588,False
34,3,rank,12,8,0.08577052082324524,3,False,-2.4849066497880004,0.08333333333333333,0.2387582246297308,False
34,4,rank,11,5,0.033759923853371794,5,False,-2.3978952727983707,0.09090909090909091,0.058652148408417586,False
34,6,rank,10,8,0.12386147224508344,2,False,-2.302585092994046,0.1,0.20734295761681745,False
34,7,rank,9,5,0.14757602470612974,2,False,-2.1972245773362196,0.1111111111111111,0.153126110912793,False
34,8,rank,8,2,0.18908021551315982,2,False,-2.0794415416798357,0.125,0.21470208954077902,False
34,9,rank,7,1,0.5049161041074245,1,True,-1.9459101490553132,0.14285714285714285,0.30491146709345773,True
34,10,rank,6,5,0.05317987072771082,5,False,-1.791759469228055,0.16666666666666666,0.10673368867292156,False
4,2,percent,11,9,0.09258959040497444,5,False,-2.3978952727983707,0.09090909090909091,0.09105689523713695,False
4,3,percent,10,9,0.10283439045678865,3,False,-2.302585092994046,0.1,0.10011458767906288,False
4,4,percent,9,8,0.11270815123073387,5,False,-2.1972245773362196,0.1111111111111111,0.11204994982080818,False
4,5,percent,8,2,0.13164317656866484,1,True,-2.0794415416798357,0.125,0.12701576733963968,True
4,6,percent,7,2,0.14742948542980186,3,False,-1.9459101490553132,0.14285714285714285,0.14319390912049204,False
4,7,percent,6,4,0.17591733524647885,2,False,-1.791759469228055,0.16666666666666666,0.16776526863075122,False
4,8,percent,5,1,0.21413155877522322,1,True,-1.6094379124341003,0.2,0.20306546873498166,True
4,9,percent,4,1,0.2643334038477529,1,True,-1.3862943611198906,0.25,0.2504139006268227,True
5,1,percent,12,6,0.08394054651191939,5,False,-2.4849066497880004,0.08333333333333333,0.08388574035309941,True
5,2,percent,11,0,0.09232495453988113,7,False,-2.3978952727983707,0.09090909090909091,0.0909845649892671,False
5,3,percent,10,9,0.10384281652632141,1,True,-2.302585092994046,0.1,0.10077671156927347,True
5,4,percent,9,1,0.1145002360658787,2,False,-2.1972245773362196,0.1111111111111111,0.1115584680339569,False
5,5,percent,8,5,0.13031967108925696,1,True,-2.0794415416798357,0.125,0.12576480747049887,False
5,6,percent,7,6,0.13675051829227355,6,False,-1.9459101490553132,0.14285714285714285,0.14303364845237349,False
5,7,percent,6,2,0.17483891539742832,1,True,-1.791759469228055,0.16666666666666666,0.1670020736366407,True
